name,type,start,end,parent,labels
Precambrian,SUPEREON,4567.0,541.0,,Precâmbrico|先カンブリア時代|Prekambrium|Prekambrium|Prekambrium|Prekambri|Précambrien|Прекамбрий|prekambrium|prekambrium|prekambrium|前寒武纪|Precambrian|Prekambras|Prekambr|predkambrij|Präkambrium|Precambrium|Prækambrium|precambriano|Precámbrico
Phanerozoic,EON,541.0,0.0,,Fanerozoikum|Fanerozoikum|Phanerozoïcum|Fanerozojus|Phanerozoic|Phanerozoisk|fanerozoik|顕生代|Phanérozoïque|Phanerozoikum|显生宙|Fanerosoikum|Fanerozoik|Fanerotsoikum|fanerozoico|fanerozoikum|fanerozoikum|fanerozoikum|Fanerozóico|Fanerozoico|Фанерозой
Proterozoic,EON,2500.0,541.0,Precambrian,Proterozóico|Proterosoikum|Proterozojus|Proterozoico|原生代|proterozoikum|proterozoikum|proterozoik|Proterozoïcum|元古宙|Proterozoic|proterozoico|proterozoos|Протерозой|Protérozoïque|Proterozoikum|Proterozoikum|Proterozoikum|Proterozoisk|Proterozoik|Proterotsoikum
Archean,EON,4000.0,2500.0,Precambrian,"Arhaikum|Arkeikum|Arkeikum|Archéen|Archaean|Archaik|Arkæisk|прхай|arkeikum|archeano|Archaikum|Archaikum|archaikum|始生代|Arcaico|Arcaico|arhaik|archaikum, prahory|Archejus|Archaïcum|Archean|Archean|太古宙"
Hadean,EON,4567.0,4000.0,Precambrian,hadeikum|Hadejus (neoficialus)|Hadean (Nieformalny)|hadei|Hadeano|hadej (neformalno)|Hadaikum|hadaikum|Hadea|adeano|Hadeánico|冥古宙（非正式）|Hád (spodní hranice není definována)|Hadesi??|冥王代（非公式の）|Hadéen|Hadean|Hadean|Hadeïcum|Hadeikum
Cenozoic,ERA,66.0,0.0,Phanerozoic,kainozoikum|Kenozoikum|Kenozoikum|kenozoikum|kenozoikum|新生代|新生代|cenozoico|Kenotsoikum|Cenozóico|Cénozoïque|Cenozoic|Cenozoic|Cenozojus|Kenozoik|kenozoik|Känozoikum|Cainozoic|пеозой|Kaenozoïcum|Cenozoico|Kainosoikum|Kænozoisk
Mesozoic,ERA,251.902,66.0,Phanerozoic,Mezozojus|Mesozoikum|Mesozoikum|mesozoico|中生代|中生代|Mesozoïcum|Mesozoic|Mesozóico|mesozoikum|Mezozoikum|Mesozoisk|mezozoikum|mezozoikum|Mezozoik|Mesotsoikum|Мезозой|Mesosoikum|mezozoik|Mesozoico|Mésozoïque
Paleozoic,ERA,541.0,251.902,Phanerozoic,Paleozoikum|Paleozoikum|Palaeozoic|Палеозой|Paleozóico|paleozoik|Paleosoikum|paleozoico|Paleozoïcum|Palæozoisk|paleozoikum|paleozoikum|paleozoikum|Paleozoic|Paleozoic|Paläozoikum|Paleotsoikum|古生代|古生代|Paleozojus|Paléozoïque|Paleozoik|Palozoico
Neoproterozoic,ERA,1000.0,541.0,Proterozoic,neoproterozoikum|neoproterozoikum|neoproterozoikum|Neoproerozoico|neoproterozoico|Neoproterozojus|新元古代|Neoproterotsoikum|Neoproterozoïcum|Neoproterosoikum|Neoproterozoikum|Neoproterozoikum|Neoproterozoikum|Neoproterozóico|原生代後期|Neoproterozoic|Neoproterozoisk|пеопротерозой|neoproterozoik|Néoprotérozoïque|Neoproterozoik
Mesoproterozoic,ERA,1600.0,1000.0,Proterozoic,Mezoproterozoikum|Mesoproterozóico|mesoproterozoikum|中元古代|Mesoproterozoikum|Mesoproterozoikum|Mesoproterozoïcum|mezoproterozoik|原生代中期|Mezoproterozojus|Mesoproterosoikum|Mezoproterozoik|Mesoproterotsoikum|mezoproterozoikum|mezoproterozoikum|Мезопротерозой|Mesoproterozoico|Mesoproterozoisk|Mésoprotérozoïque|mesoproterozoico|Mesoproterozoic
Paleoproterozoic,ERA,2500.0,1600.0,Proterozoic,paleoproterozoïcum|paleoproterozoikum|paleoproterozoikum|Paleoproterozóico|paleoproterozoik|Paléoprotérozoïque|Paleoproterozoico|Palaeoproterozoic|古元古代|paleoproterozoico|Палеопротерозой|Palæoproterozoisk|Paleoproterozoik|Paleoproterozoic|Paleoproterozoic|Paleoproterosoikum|Paläoproteroizoikum|Paleoproterozoikum|Paleoproterozoikum|Paleoproterotsoikum|paleoproterozikum|Paleoproterozojus|原生代前期
Neoarchean,ERA,2800.0,2500.0,Archean,Néoarchéen|neoarcheano|neoarhaik|Neoarhaikum|neoarkeikum|新太古代|Neoarkeikum|Neoarkeikum|neoarchaikum|neoarchaikum|Neoarchean|Neoarchean|Neoarkæisk|Neoarcaico|Neoarcaico|Neo-archaicum|Neoarchejus|пеоархай|Neoarchaean|Neoarchaikum|Neoarchaikum|新始生代|Neoarchaik
Mesoarchean,ERA,3200.0,2800.0,Archean,mezoarchaikum|mesoarkeikum|mezoarchai|Mezoarchaikum|Mesoarhaikum|Mesoarkæisk|mesoarcheano|Mesoarkeikum|Mesoarkeikum|Mezoarchejus|Mesoarchaean|Mésoarchéen|中始生代|Mesoarchean|Mesoarchean|Мезоархай|Meso-archaicum|Mesoarcaico|Mesoarcaico|mezoarhaik|中太古代|Mesoarchaikum|Mezoarchaik
Paleoarchean,ERA,3600.0,3200.0,Archean,paleoarchaikum|Paleoarkeikum|Paleoarkeikum|Palaeoarchaean|Paleoarchaikum|Paléoarchéen|Палеоархай|paleoarkeikum|Paleoarcaico|Paleoarcaico|Paleoarhaikum|Paleoarchejus|古始生代|paleoarchai|Paläoarchaikum|Paleoarchaik|Palæoarkæisk|paleoarhaik|paleoarcheano|Paleoarchean|Paleoarchean|古太古代|Paleo-archaicum
Eoarchean,ERA,4000.0,3600.0,Archean,Eoarhaikum|Eoarchéen|Еоархай|eoarcheano|始太古代|暁始生代|Eoarchaikum|Eoarchaikum|Eoarchean|Eoarchean|Eoarchejus|eoarchaikum|eoarchaikum|Eoarcaico|Eoarcaico|eoarhaik|eoarkeikum|Eoarkeikum|Eoarkeikum|Eoarchaik|Eoarchaean|Eo-archaicum|Eoarkæisk
Quaternary,PERIOD,2.58,0.0,Cenozoic,kvartär|Kwartair|第四纪|第四紀|Kvartér|Quartär|Quaternaire|negyedidőszak|Kvaternaar|Quaternary|kvartar|Czwartorzęd|Kvarteras|Кватернер|quaternario|Quaternário|Kvartær|Kvartær|kvartér|Cuaternario|Kvartääri
Neogene,PERIOD,23.03,2.58,Cenozoic,Neogenas|пеоген|Neogénico|Neógeno|Neogeen|Neogeen|Néogène|neogen|neogen|晚第三纪|Neogén|新第三紀|neogene|neogén|neogén|Neogen|Neogen|Neogen|Neogen|Neogeeni|Neogene
Paleogene,PERIOD,66.0,23.03,Cenozoic,Palaeogene|Paleogeeni|Paleógeno|Paleogeen|Paleogeen|早第三纪|Paléogène|Paleogén|Paleogenas|paleogen|paleogen|Paleogene|Paleogene|Palæogen|paleogene|Paläogen|Paleogen|Paleogen|Палеоген|paleogén|paleogén|古第三紀|Paleogénico
Cretaceous,PERIOD,145.0,66.0,Mesozoic,白垩纪|krieda|Kritt|白亜紀|Krijt|kreda|Cretaceous|krita|Kreide|Креда|Kridt|Cretácico|Cretácico|cretacico|Kreida|Kreda|kréta|Křída|Liitu|Crétacé|Kriit
Jurassic,PERIOD,201.3,145.0,Mesozoic,"jura, jurský|Jurassic|Jurassique|Jurásico|Jurássico|Juura|giurassico|jura|jura|jura|Jura|Jura|Jura|Jura|Jura|Jura|Jura|Jurassisk|ジュラ紀|Юра|侏罗纪"
Triassic,PERIOD,251.902,201.3,Mesozoic,Triasas|Триаѿ|Triassic|trias|trias|trias|三畳紀|Trias|Trias|Trias|Trias|Trias|Trias|Trias|Triassisk|Triias|三叠纪|triassico|Triásico|Triásico|triász
Permian,PERIOD,298.9,251.902,Paleozoic,Pérmico|Pérmico|Permien|Permi|perm|perm|perm|perm|Перм|ペルム紀|permiano|Perm|Perm|Perm|Perm|Perm|Perm|Perm|Permas|Permian|二叠纪
Carboniferous,PERIOD,358.9,298.9,Paleozoic,Carbonífero|karbón|karbon|karbon|karbon|Карбон|Carboniferous|Kivihiili|Carbónico|石炭紀|石炭纪|Karbonas|Carboon|Carbonifère|Karbon|Karbon|Karbon|Karbon|Karbon|Karbon|carbonifero
Devonian,PERIOD,419.2,358.9,Paleozoic,泥盆纪|devon|devon|devon|デボン紀|Девон|Devónico|Devónico|Devoni|Devonas|Devon|Devon|Devon|Devon|Devon|Dévonien|Devonian|devoniano|Devoon|devón|Dewon
Silurian,PERIOD,443.8,419.2,Paleozoic,シルル紀|Siluuri|szilur|Silūras|Sylur|silúr|silur|silur|Силур|siluriano|Siluur|Silur|Silur|Silur|Silur|Silur|Silurian|Silúrcio|志留纪|Silúrico|Silurien
Ordovician,PERIOD,485.4,443.8,Paleozoic,ordovicij|Ordoviikki|Ordovicien|オルドビス紀|Ордовик|ordoviciano|Ordoviitsium|Ordovizium|Ordovícico|Ordovícico|ordovik|Ordovicium|Ordovicium|Ordovicium|Ordowik|Ordovikas|Ordovician|ordovicium|Ordovik|奥陶纪|ordovícium
Cambrian,PERIOD,541.0,485.4,Paleozoic,Kambr|Kambrium|Kambrium|Kambrium|Kambrium|Kambri|Cambrium|Cambrium|kambrij|Câmbrico|kambrium|kambrium|カンブリア紀|Kambras|cambriano|Cámbrico|Камбрий|Cambrien|Cambrian|kambriumi|寒武纪
Ediacaran,PERIOD,635.0,541.0,Neoproterozoic,Едиакар|Ediacarien|Ediacara|Ediacara|Ediacara|Ediacarium|ediacara|Ediakaras|埃迪卡拉纪|ediakarium|ediacaranum|Ediakar|Ediacariano|Ediacar|Ediacar|Ediacaran|Ediacaran|ediacariano|Ediacariense|エディアカラ紀|ediacarij
Cryogenian,PERIOD,720.0,635.0,Neoproterozoic,Kriogen|cryogenij|Kriogenis|kryogenium|Cryogen|Cryogen|クリオジェニアン紀|Cryogeniën|Criogeniense|kryogén|cryogeniano|Cryogenien|cryogeni|Криоген|成冰纪|Cryogenian|Krüogeen|Criogeniano|Cryogénien|Kryogenium|Kryogenium
Tonian,PERIOD,1000.0,720.0,Neoproterozoic,Ton|Ton|Ton|Ton|Toniense|toni|Tonien|Tonien|Tonian|Tonis|トニアン紀|Toniën|tonij|toniano|Toniano|Тон|Tonium|Tonium|拉伸纪|tonium|tonium
Stenian,PERIOD,1200.0,1000.0,Mesoproterozoic,Stenium|Stenium|steni|Steniën|Sten|Sten|Sten|Sten|Steniano|stenij|狭带纪|Стен|Stenien|Sténien|steniano|Esteniense|Stenis|ステニアン紀|stenium|stenium|Stenian
Ectasian,PERIOD,1400.0,1200.0,Mesoproterozoic,ectasiano|ektazium|Ectasian|Ectasien|Ectasien|Ectasiën|Ektasium|Ектаз|Ectasiense|Ektasis|ectasij|ectasium|ectasi|Ectasium|Ektas|延展纪|Ectasiano|Ectas|Ectas|Ectas|エクタシアン紀
Calymmian,PERIOD,1600.0,1400.0,Mesoproterozoic,Calymm|Calymm|Калим|kalymmium|calymmiano|Calymmien|Calymmien|calymmi|Kalymis|calymmij|kalymnium|Kalym|Calym|Calymmiën|Kalymmium|盖层纪|Calymmiense|Calymmian|Calymmium|カリミアン紀|Calymiano
Statherian,PERIOD,1800.0,1600.0,Paleoproterozoic,statherij|Stather|Stather|Stather|statheri|スタテリアン紀|Statheriën|固结纪|Statherium|Staterium|Stathérien|Stateris|Statheriense|Statherian|staterium|staterium|Stateriano|Stater|statheriano|Статер|Statherien
Orosirian,PERIOD,2050.0,1800.0,Paleoproterozoic,orosirium|orosirium|オロシリアン紀|Orosiriano|造山纪|Ороѿир|Orosirien|Orosirien|Orosirium|Orosirium|orosiri|orosiriano|Orosiris|Orosiriën|Orosirian|Orosir|Orosir|Orosir|Orosir|Orosiriense|orosijrij
Rhyacian,PERIOD,2300.0,2050.0,Paleoproterozoic,Ryak|层侵纪|rhyacium|Rhyacian|rhyaciano|ryacium|rhyaci|Rhyak|rhyacij|リヤシアン紀|Riak|Rhyacien|Rhyacien|Riacis|Rhyaciën|Rhyacium|Riaciano|Rhyac|Ryasium|Риац|Ryaciense
Siderian,PERIOD,2500.0,2300.0,Paleoproterozoic,シデリアン紀|sideriano|Siderium|Siderium|Sideriën|Sider|Sider|Sider|Sider|sideri|siderij|Sideris|Сидер|Siderian|siderium|siderium|成铁纪|Sidérien|Sideriense|Siderien|Sideriano
Pennsylvanian,SUBPERIOD,323.2,298.9,Carboniferous,Pennsylvaniën|Pensilvaniano|Pennsylvanien|Pennsylvanien|Pensylwan|pennsylvaniano|pennsylvaniai|Pensilvanis|pennsylvan|penssylván|ペンシルバニア紀|Пенѿилван|Pennsylván|Pennsylvaniense|Pennsylvanium|Pennsylvanium|Pennsylvania|Pennsylvania|宾夕法尼亚亚纪|Pennsylvanian|pennsylvanij
Mississippian,SUBPERIOD,358.9,323.2,Carboniferous,mississippi|mississippi|Mississippi|Mississippi|mississippij|Mississippium|Mississippium|Mississippian|mississippiano|ミシシッピアン紀|Missisip|mississip|Mississipiano|密西西比亚纪|Mississip|Misisipis|Mississippien|Mississippien|Миѿиѿип|Mississippiense|Mississippiën
Holocene,EPOCH,0.0117,0.0,Quaternary,Holocénico|holocén|holocén|Holocène|Holozän|完新世|Holocenas|holocen|holocen|Holocen|Holocen|Holotseen|Holoseeni|Холоцен|Holocæn|Holocene|全新世|Holoceno|Holocén|Holoceen|olocene
Pleistocene,EPOCH,2.58,0.0117,Quaternary,Pleistozän|Pleistocene|Pleistocenas|Pleistocén|Pleistotseen|Pléistocène|pleisztocén|Plejstocen|pleistocen|pleistocen|Плейѿтоцен|Pleistoceen|更新世|更新世|Plistocénico|Pleistocen|Pleistoceno|pleistocene|Pleistocæn|pleistocén|Pleistoseeni
Pliocene,EPOCH,5.333,2.58,Neogene,pliocene|Plioseeni|Pliocene|Pliozän|Pliotseen|pliocén|pliocén|Pliocénico|Pliocène|鮮新世|Плиоцен|Pliocen|Pliocen|Ploceno|上新世|Pliocén|Pliocenas|Plioceen|pliocen|pliocen|Pliocæn
Miocene,EPOCH,23.03,5.333,Neogene,Mioseeni|Miocénico|Miocène|miocene|Miotseen|中新世|中新世|miocén|miocén|Miocæn|miocen|miocen|Miocén|Mioceno|Миоцен|Miocenas|Miozän|Mioceen|Miocene|Miocen|Miocen
Oligocene,EPOCH,33.9,23.03,Paleogene,oligocen|oligocen|Oligocén|渐新世|Oligozän|Oligocenas|Oligocénico|Oligocene|Oligocen|Oligocen|漸新世|Oligocène|Oligoseeni|Oligocæn|Олигоцен|oligocene|Oliogoceen|oligocén|oligocén|Oligoceno|Oligotseen
Eocene,EPOCH,56.0,33.9,Paleogene,Eozän|Eoceen|Eoceno|Eoseeni|Еоцен|eocene|Eocæn|Eocénico|Eocenas|Eocen|Eocen|Eocène|Eocene|Eotseen|eocen|eocen|始新世|始新世|Eocén|eocén|eocén
Paleocene,EPOCH,66.0,56.0,Paleogene,paleocene|古新世|暁新世|Paleotseen|Paleocenas|Paleoceno|Paleocénico|Paläozän|paleocén|paleocén|paleocen|paleocen|Palaeocene|Paleoceen|Paleocene|Paleocene|Палеоцен|Paleocén|Paleoseeni|Paleocen|Paleocen|Paleocæn|Paléocène
UpperCretaceous,EPOCH,100.5,66.0,Cretaceous,Sen kritt|Late Cretaceous|後期白亜紀|késő-kréta|Sen Kridt|pozna kreda|Myöhäis-Liitu|Къѿна Креда|晚白垩世|mladšia krieda|Vėlyva kreida|Późna Kreda|Hilis-Kriit|Pozdní křída|Laat Krijt|yngre krita|Späte Kreide|Crétacé supérieur|cretacico superiore|Cretácico Superior|Cretáceo Superior|Upper Cretaceous
LowerCretaceous,EPOCH,145.0,100.5,Cretaceous,白亜紀前期|Crétacé précoce|早白垩世|Tidlig Kridt|Wczesna Kreda|Ранна Креда|Early Cretaceous|raná  krieda|Vroeg Krijt|Varajane kriit|Cretácico temprano|Cretaceo precoce|kora-kréta|Frühe Kreide|Varhais-Liitu|zgodnja kreda|Cretáceo Primitivo|äldre krita|Ankstyvoji Kreida|undre krita|Unterkreide|前期白亜紀|undre kritt|Lower Cretaceous|下白垩统|cretacico inferiore|spodnja kreda|Crétacé inférieur|Apatinė Kreida|Долна Креда|Ala-Liitu|spodní křída|Nedre Kridt|Cretácico Inferior|spodná  krieda|Alam-Kriit|alsó-kréta|Onder Krijt|Dolna Kreda|Cretáceo Inferior
UpperJurassic,EPOCH,163.5,145.0,Jurassic,Pozdní jura|pozna jura|yngre jura|Myöhäis-Jura|Laat Jura|Hilis-Juura|後期ジュラ紀|Late Jurassic|Sen Jurassisk|Późna Jura|Später Jura|Vėlyvoji Jura|mladšia jura|Sen jura|késő-jura|晚侏罗世|Къѿна Юра|Jurásico Superior|Jurássico Superior|Jurassique supérieur|giurassico superiore|Upper Jurassic
MiddleJurassic,EPOCH,174.1,163.5,Jurassic,中侏罗世|中期ジュラ紀|mellersta jura|Средна Юра|középső-jura|Middle Jurassic|Keski-Jura|stredná jura|Mellem Jurassisk|giurassico medio|Jurássico Médio|Środkowa Jura|Střední jura|Vidurinė Jura|Midden Jura|Jurásico Medio|Mittlerer Jura|Kesk-Juura|srednja jura|Midtre jura|Jurassique moyen|中侏罗统|ジュラ紀中期
LowerJurassic,EPOCH,201.3,174.1,Jurassic,Tidlig Jurassisk|Jurásico temprano|Wczesna Jura|ジュラ紀前期|kora-jura|giurassico precoce|Jurássico primitivo|Tidlig jura|早侏罗世|Vara-Juura|Ранна Юра|raná jura|Jurassique précoce|Ankstyvoji Jura|Early Jurassic|Varhais-Jura|Vroeg Jura|brzy jura|Früher Jura|zgodnja jura|äldre jura|giurassico inferiore|Jurásico Inferior|Jurassique inférieur|spodná  jura|alsó-jura|Apatinė Jura|Долна Юра|undre jura|undre jura|Ala-Jura|Nedre Jurassisk|Unterjura|Onder Jura|Dolna Jura|Lower Jurassic|spodnja jura|较低的侏罗纪|Jurássico Inferior|Alam-Juura|下ジュラ紀|spodní jura
UpperTriassic,EPOCH,237.0,201.3,Triassic,Myöhäis-Trias|Vėlyvasis Triasas|yngre trias|Laat Trias|後期三畳紀|Sen trias|Pozdní trias|Hilis-Triias|késő-triász|Late Triassic|pozni trias|晚三叠世|mladší trias|Къѿен Триаѿ|Późny Trias|Späte Trias|Sen Triassisk|triassico superiore|Triásico Superior|Triássico Superior|Upper Triassic|Trias supérieur
MiddleTriassic,EPOCH,247.2,237.0,Triassic,Middle Triassic|mellersta trias|Mittlere Trias|Trias moyen|stredný trias|Triásico Medio|Vidurinis Triasas|Střední trias|Środkowy Trias|Keski-Trias|Mellem Triassisk|srednji trias|Среден Триаѿ|Triásico Médio|Midden Trias|középső-triász|triassico medio|中期三畳紀|Kesk-Triias|中三叠世|Midtre trias|三畳紀中期|中三叠统
LowerTriassic,EPOCH,251.902,247.2,Triassic,Trias précoce|Tidlig Triassisk|Frühe Trias (Buntsandstein)|brzy trias|Triássico primitivo|三畳紀前期|早三叠世|zgodnji trias|kora-triász|Tidlig trias|Early Triassic|triassico precoce|Vara-Triias|Ankstyvasis Triasas|Varhais-Trias|Vroeg Trias|äldre trias|Triásico temprano|Раннен Триаѿ|raný trias|Wczesny Trias|Triásico Inferior|Dolna Trias|Lower Triassic|triassico inferiore|Ala-Trias|alsó-triász|Trias inférieur|下部三畳紀|spodnja trias|Onder Trias|spodná trias|Долна Триаѿ|下三叠纪|undre trias|undre trias|Triássico Inferior|Apatinė Triasas|spodní trias|Untertrias|Nedre Triassisk|Alam-Triias
