"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
"555","int","","","Porterfieldian","","","","0.00000","0.00000","8960"
"32","int","1","4","Holocene","","12","#FEF2E0","0.01170","0.00000","47900"
"3002","int","1","5","Holocene","","32","#FEF2E0","0.01170","0.00000","47900"
"1088","int","","","Tarantian","","","","0.12600","0.01200","42499"
"922","int","1","5","Late Pleistocene","","33","#FFF2D3","0.12600","0.01170","15443"
"239","int","","","Sheridanian","","","","0.30000","0.01200","5959"
"237","int","","","Rancholabrean","","","","0.30000","0.01200","5959"
"943","int","","","Haweran","","","","0.34000","0.00000","18155"
"718","int","","","Lujanian","","","","0.78100","0.01200","9569"
"1089","int","","","Ionian","","","","0.78100","0.12600","42499"
"923","int","1","5","Middle Pleistocene","","33","#FFF2C7","0.78100","0.12600","15443"
"719","int","","","Ensenadan","","","","1.20000","0.78100","9569"
"944","int","","","Castlecliffian","","","","1.63000","0.34000","18155"
"240","int","","","Cudahyan","","","","1.80000","0.30000","5959"
"241","int","","","Sappan","","","","1.80000","0.30000","5959"
"238","int","","","Irvingtonian","","","","1.80000","0.30000","5959"
"740","int","1","5","Calabrian","","33","#FFF2BA","1.80600","0.78100","47900"
"945","int","","","Nukumaruan","","","","2.40000","1.63000","18155"
"295","int","","","MN 17","","","","2.58800","1.80600","8851"
"1038","int","","","Nihewanian","","","","2.58800","0.01200","23736"
"924","int","","","Early Pleistocene","","","","2.58800","0.78100","15443"
"12","int","1","3","Quaternary","","1","#F9F97F","2.58800","0.00000","47900"
"33","int","1","4","Pleistocene","","12","#FFF2AE","2.58800","0.01170","47900"
"741","int","1","5","Gelasian","","33","#FFEDB3","2.58800","1.80600","47900"
"720","int","","","Uquian","","","","3.00000","1.20000","9569"
"946","int","","","Mangapanian","","","","3.00000","2.40000","18155"
"296","int","","","MN 16","","","","3.20000","2.58800","8851"
"288","int","","","Villanyian","","","","3.20000","2.58800","8851"
"947","int","","","Waipipian","","","","3.60000","3.00000","18155"
"81","int","","","Late Pliocene","","","","3.60000","2.58800","5954"
"96","int","1","5","Piacenzian","","34","#FFFFBF","3.60000","2.58800","47900"
"721","int","","","Chapadmalalan","","","","4.00000","3.00000","9569"
"297","int","","","MN 15","","","","4.20000","3.20000","8851"
"243","int","","","Rexroadian","","","","4.90000","1.80000","5959"
"1039","int","","","Yushean","","","","4.90000","2.58800","23736"
"219","int","","","Blancan","","","","4.90000","1.80000","5954"
"242","int","","","""Senecan""","","","","4.90000","1.80000","5959"
"298","int","","","MN 14","","","","4.90000","4.20000","8851"
"925","int","","","Wanganui","","","","5.33300","0.00000","18155"
"948","int","","","Opoitian","","","","5.33300","3.60000","18155"
"82","int","","","Early Pliocene","","","","5.33300","3.60000","5954"
"289","int","","","Ruscinian","","","","5.33300","3.20000","8851"
"34","int","1","4","Pliocene","","25","#FFFF99","5.33300","2.58800","47900"
"97","int","1","5","Zanclean","","34","#FFFFB3","5.33300","3.60000","47900"
"949","int","","","Kapitean","","","","6.50000","5.33300","18155"
"722","int","","","Montehermosan","","","","6.80000","4.00000","9569"
"299","int","","","MN 13","","","","7.24600","4.90000","8851"
"98","int","1","5","Messinian","","35","#FFFF73","7.24600","5.33300","47900"
"300","int","","","MN 12","","","","7.75000","7.24600","8851"
"290","int","","","Turolian","","","","8.70000","5.33300","8851"
"301","int","","","MN 11","","","","8.70000","7.75000","8851"
"723","int","","","Huayquerian","","","","9.00000","6.80000","9569"
"302","int","","","MN 10","","","","9.70000","8.70000","8851"
"724","int","","","Chasicoan","","","","10.00000","9.00000","9569"
"220","int","","","Hemphillian","","","","10.30000","4.90000","5954"
"244","int","","","Late Hemphillian","","","","10.30000","4.90000","5959"
"245","int","","","late Early Hemphillian","","","","10.30000","4.90000","5959"
"246","int","","","early Early Hemphillian","","","","10.30000","4.90000","5959"
"926","int","","","Taranaki","","","","10.92000","5.33300","18155"
"303","int","","","MN 9","","","","11.10000","9.70000","8851"
"1040","int","","","Baodean","","","","11.10000","4.90000","23736"
"291","int","","","Vallesian","","","","11.60800","8.70000","8851"
"1044","int","","","Pannonian","","","","11.60800","7.24600","23788"
"950","int","","","Tongaporutuan","","","","11.60800","6.50000","18155"
"83","int","","","Late Miocene","","","","11.60800","5.33300","5954"
"99","int","1","5","Tortonian","","35","#FFFF66","11.62000","7.24600","47900"
"725","int","","","Mayoan","","","","11.80000","10.00000","9569"
"951","int","","","Waiauan","","","","12.70000","11.60800","18155"
"1045","int","","","Sarmatian","","","","12.70000","11.60800","23788"
"304","int","","","MN 7 + 8","","","","12.75000","11.10000","8851"
"221","int","","","Clarendonian","","","","13.60000","10.30000","5954"
"247","int","","","Late Clarendonian","","","","13.60000","10.30000","5959"
"248","int","","","Early Clarendonian","","","","13.60000","10.30000","5959"
"1041","int","","","Tunggurian","","","","13.65000","11.10000","23736"
"1046","int","","","Badenian","","","","13.65000","12.70000","23788"
"952","int","","","Lillburnian","","","","13.65000","12.70000","18155"
"305","int","","","MN 6","","","","13.65000","12.75000","8851"
"726","int","","","Laventan","","","","13.80000","11.80000","9569"
"100","int","1","5","Serravallian","","35","#FFFF59","13.82000","11.62000","47900"
"727","int","","","Colloncuran","","","","15.50000","13.80000","9569"
"953","int","","","Clifdenian","","","","15.90000","13.65000","18155"
"927","int","","","Southland","","","","15.90000","10.92000","18155"
"251","int","","","Early Barstovian","","","","15.97000","13.60000","5959"
"222","int","","","Barstovian","","","","15.97000","13.60000","5954"
"292","int","","","Astaracian","","","","15.97000","11.60800","8851"
"306","int","","","MN 5","","","","15.97000","13.65000","8851"
"249","int","","","late Late Barstovian","","","","15.97000","13.60000","5959"
"84","int","","","Middle Miocene","","","","15.97000","11.60800","5954"
"250","int","","","early Late Barstovian","","","","15.97000","13.60000","5959"
"101","int","1","5","Langhian","","35","#FFFF4D","15.97000","13.82000","47900"
"728","int","","","Friasian","","","","16.30000","15.50000","9569"
"1042","int","","","Shanwangian","","","","16.90000","13.65000","23736"
"307","int","","","MN 4","","","","16.90000","15.97000","8851"
"729","int","","","Santacrucian","","","","17.50000","16.30000","9569"
"954","int","","","Altonian","","","","19.00000","15.90000","18155"
"308","int","","","MN 3","","","","20.00000","16.90000","8851"
"293","int","","","Orleanian","","","","20.00000","15.97000","8851"
"253","int","","","Early Hemingfordian","","","","20.43000","15.97000","5959"
"223","int","","","Hemingfordian","","","","20.43000","15.97000","5954"
"252","int","","","Late Hemingfordian","","","","20.43000","15.97000","5959"
"102","int","1","5","Burdigalian","","35","#FFFF41","20.44000","15.97000","47900"
"730","int","","","Colhuehuapian","","","","21.00000","17.50000","9569"
"928","int","","","Pareora","","","","21.70000","15.90000","18155"
"955","int","","","Otaian","","","","21.70000","19.00000","18155"
"309","int","","","MN 2","","","","22.40000","20.00000","8851"
"294","int","","","Agenian","","","","23.03000","20.00000","8851"
"310","int","","","MN 1","","","","23.03000","22.40000","8851"
"1043","int","","","Xiejiaan","","","","23.03000","16.90000","23736"
"85","int","","","Early Miocene","","","","23.03000","15.97000","5954"
"25","int","1","3","Neogene","Ng","1","#FFE619","23.03000","2.58800","47900"
"35","int","1","4","Miocene","","25","#FFFF00","23.03000","5.33300","47900"
"103","int","1","5","Aquitanian","","35","#FFFF33","23.03000","20.44000","47900"
"285","int","","","Harrisonian","","","","24.80000","20.43000","8850"
"956","int","","","Waitakian","","","","25.20000","21.70000","18155"
"286","int","","","Monroecreekian","","","","26.30000","24.80000","8850"
"957","int","","","Duntroonian","","","","27.30000","25.20000","18155"
"104","int","1","5","Chattian","","36","#FEE6AA","28.10000","23.03000","47900"
"997","int","","","Tabenbulakian","","","","28.40000","23.03000","18322"
"86","int","","","Late Oligocene","","","","28.40000","23.03000","5954"
"1014","int","","","MP 28","","","","28.40000","23.03000","19210"
"1015","int","","","MP 27","","","","28.40000","23.03000","19210"
"1016","int","","","MP 26","","","","28.40000","23.03000","19210"
"1012","int","","","MP 30","","","","28.40000","23.03000","19210"
"1013","int","","","MP 29","","","","28.40000","23.03000","19210"
"731","int","","","Deseadan","","","","29.00000","21.00000","9569"
"254","int","","","late Late Arikareean","","","","30.80000","20.43000","5959"
"255","int","","","early Late Arikareean","","","","30.80000","20.43000","5959"
"287","int","","","Geringian","","","","30.80000","26.30000","8850"
"256","int","","","late Early Arikareean","","","","30.80000","20.43000","5959"
"257","int","","","early Early Arikareean","","","","30.80000","20.43000","5959"
"224","int","","","Arikareean","","","","30.80000","20.43000","5954"
"225","int","","","Whitneyan","","","","33.30000","30.80000","5954"
"1018","int","","","MP 24","","","","33.90000","28.40000","19210"
"1019","int","","","MP 23","","","","33.90000","28.40000","19210"
"226","int","","","Orellan","","","","33.90000","33.30000","5954"
"998","int","","","Hsandagolian","","","","33.90000","23.03000","18322"
"1020","int","","","MP 22","","","","33.90000","28.40000","19210"
"999","int","","","Kekeamuan","","","","33.90000","28.40000","18322"
"1021","int","","","MP 21","","","","33.90000","28.40000","19210"
"1017","int","","","MP 25","","","","33.90000","23.03000","19210"
"87","int","","","Early Oligocene","","","","33.90000","28.40000","5954"
"36","int","1","4","Oligocene","","26","#FDC07A","33.90000","23.03000","47900"
"105","int","1","5","Rupelian","","36","#FED99A","33.90000","28.10000","47900"
"929","int","","","Landon","","","","34.30000","21.70000","18155"
"958","int","","","Whaingaroan","","","","34.30000","27.30000","18155"
"732","int","","","Tinguirirican","","","","36.00000","29.00000","9569"
"959","int","","","Runangan","","","","36.00000","34.30000","18155"
"1001","int","","","Ergilian","","","","37.20000","33.90000","18322"
"960","int","","","Kaiatan","","","","37.20000","36.00000","18155"
"259","int","","","Middle Chadronian","","","","37.20000","33.90000","5959"
"1023","int","","","MP 19","","","","37.20000","33.90000","19210"
"1002","int","","","Ulangochuian","","","","37.20000","33.90000","18322"
"1024","int","","","MP 18","","","","37.20000","33.90000","19210"
"88","int","","","Late Eocene","","","","37.20000","33.90000","5954"
"227","int","","","Chadronian","","","","37.20000","33.90000","5954"
"1025","int","","","MP 17B","","","","37.20000","33.90000","19210"
"260","int","","","Early Chadronian","","","","37.20000","33.90000","5959"
"1000","int","","","Houldjinian","","","","37.20000","33.90000","18322"
"1026","int","","","MP 17A","","","","37.20000","33.90000","19210"
"258","int","","","Late Chadronian","","","","37.20000","33.90000","5959"
"1022","int","","","MP 20","","","","37.20000","33.90000","19210"
"106","int","1","5","Priabonian","","37","#FDCDA1","38.00000","33.90000","47900"
"1027","int","","","MP 16","","","","40.40000","37.20000","19210"
"228","int","","","Duchesnean","","","","40.40000","37.20000","5954"
"107","int","1","5","Bartonian","","37","#FDC091","41.30000","38.00000","47900"
"733","int","","","Divisaderan","","","","42.00000","36.00000","9569"
"961","int","","","Bortonian","","","","43.00000","37.20000","18155"
"930","int","","","Arnold","","","","43.00000","34.30000","18155"
"229","int","","","Uintan","","","","46.20000","40.40000","5954"
"261","int","","","Late Uintan","","","","46.20000","40.40000","5959"
"962","int","","","Porangan","","","","46.20000","43.00000","18155"
"262","int","","","Early Uintan","","","","46.20000","40.40000","5959"
"108","int","1","5","Lutetian","","37","#FCB482","47.80000","41.30000","47900"
"734","int","","","Mustersan","","","","48.00000","42.00000","9569"
"89","int","","","Middle Eocene","","","","48.60000","37.20000","5954"
"1032","int","","","MP 11","","","","48.60000","40.40000","19210"
"1028","int","","","MP 15","","","","48.60000","40.40000","19210"
"1003","int","","","Sharamurunian","","","","48.60000","37.20000","18322"
"1029","int","","","MP 14","","","","48.60000","40.40000","19210"
"1004","int","","","Irdinmanhan","","","","48.60000","37.20000","18322"
"1030","int","","","MP 13","","","","48.60000","40.40000","19210"
"1005","int","","","Arshantan","","","","48.60000","37.20000","18322"
"1031","int","","","MP 12","","","","48.60000","40.40000","19210"
"963","int","","","Heretaungan","","","","49.50000","46.20000","18155"
"230","int","","","Bridgerian","","","","50.30000","46.20000","5954"
"263","int","","","Twinbuttean","","","","50.30000","46.20000","5959"
"264","int","","","Blacksforkian","","","","50.30000","46.20000","5959"
"265","int","","","Gardnerbuttian","","","","50.30000","46.20000","5959"
"964","int","","","Mangaorapan","","","","53.00000","49.50000","18155"
"90","int","","","Early Eocene","","","","55.80000","48.60000","5954"
"1006","int","","","Bumbanian","","","","55.80000","48.60000","18322"
"965","int","","","Waipawan","","","","55.80000","53.00000","18155"
"267","int","","","Lysitean","","","","55.80000","50.30000","5959"
"268","int","","","Graybullian","","","","55.80000","50.30000","5959"
"1033","int","","","MP 10","","","","55.80000","48.60000","19210"
"231","int","","","Wasatchian","","","","55.80000","50.30000","5954"
"269","int","","","Sandcouleean","","","","55.80000","50.30000","5959"
"1034","int","","","MP 8 + 9","","","","55.80000","48.60000","19210"
"1035","int","","","MP 7","","","","55.80000","48.60000","19210"
"735","int","","","Casamayoran","","","","55.80000","48.00000","9569"
"266","int","","","Lostcabinian","","","","55.80000","50.30000","5959"
"37","int","1","4","Eocene","","26","#FDB46C","56.00000","33.90000","47900"
"109","int","1","5","Ypresian","","37","#FCA773","56.00000","47.80000","47900"
"271","int","","","Cf2","","","","56.80000","55.80000","5959"
"272","int","","","Cf1","","","","56.80000","55.80000","5959"
"232","int","","","Clarkforkian","","","","56.80000","55.80000","5954"
"270","int","","","Cf3","","","","56.80000","55.80000","5959"
"736","int","","","Riochican","","","","57.00000","55.80000","9569"
"1036","int","","","MP 6","","","","58.70000","55.80000","19210"
"1007","int","","","Gashatan","","","","58.70000","55.80000","18322"
"91","int","","","Late Paleocene","","","","58.70000","55.80000","5954"
"737","int","","","Itaboraian","","","","59.00000","57.00000","9569"
"110","int","1","5","Thanetian","","38","#FDBF6F","59.20000","56.00000","47900"
"743","int","1","5","Selandian","","38","#FEBF65","61.60000","59.20000","47900"
"276","int","","","Ti3","","","","61.70000","56.80000","5959"
"783","int","","","Middle Paleocene","","","","61.70000","58.70000","15443"
"277","int","","","Ti2","","","","61.70000","56.80000","5959"
"273","int","","","Ti6","","","","61.70000","56.80000","5959"
"278","int","","","Ti1","","","","61.70000","56.80000","5959"
"274","int","","","Ti5","","","","61.70000","56.80000","5959"
"233","int","","","Tiffanian","","","","61.70000","56.80000","5954"
"275","int","","","Ti4","","","","61.70000","56.80000","5959"
"738","int","","","Peligran","","","","62.50000","59.00000","9569"
"234","int","","","Torrejonian","","","","63.30000","61.70000","5954"
"281","int","","","To1","","","","63.30000","61.70000","5959"
"279","int","","","To3","","","","63.30000","61.70000","5959"
"280","int","","","To2","","","","63.30000","61.70000","5959"
"13","int","","","Tertiary","","","","66.00000","2.58800","5954"
"1037","int","","","MP 1 - 5","","","","66.00000","55.80000","19210"
"235","int","","","Dragonian","","","","66.00000","61.70000","5954"
"92","int","","","Early Paleocene","","","","66.00000","61.70000","5954"
"966","int","","","Teurian","","","","66.00000","55.80000","18155"
"282","int","","","Pu3","","","","66.00000","63.30000","5959"
"236","int","","","Puercan","","","","66.00000","63.30000","5954"
"283","int","","","Pu2","","","","66.00000","63.30000","5959"
"931","int","","","Dannevirke","","","","66.00000","43.00000","18155"
"739","int","","","Tiupampan","","","","66.00000","62.50000","9569"
"284","int","","","Pu1","","","","66.00000","63.30000","5959"
"1","int","1","2","Cenozoic","Cz","751","#F2F91D","66.00000","0.00000","47900"
"26","int","1","3","Paleogene","Pg","1","#FD9A52","66.00000","23.03000","47900"
"38","int","1","4","Paleocene","","26","#FDA75F","66.00000","56.00000","47900"
"111","int","1","5","Danian","","38","#FDB462","66.00000","61.60000","47900"
"744","int","","","Lancian","","","","70.60000","66.00000","2237"
"655","int","","","Early Maastrichtian","","","","70.60000","66.00000","9098"
"745","int","","","Edmontonian","","","","70.60000","66.00000","2237"
"654","int","","","Late Maastrichtian","","","","70.60000","66.00000","9098"
"112","int","1","5","Maastrichtian","","39","#F2FA8C","72.10000","66.00000","47900"
"658","int","","","Early Campanian","","","","83.50000","70.60000","9098"
"746","int","","","Judithian","","","","83.50000","70.60000","2237"
"967","int","","","Haumurian","","","","83.50000","66.00000","18155"
"747","int","","","Aquilan","","","","83.50000","70.60000","2237"
"656","int","","","Late Campanian","","","","83.50000","70.60000","9098"
"657","int","","","Middle Campanian","","","","83.50000","70.60000","9098"
"113","int","1","5","Campanian","","39","#E6F47F","83.60000","72.10000","47900"
"661","int","","","Early Santonian","","","","85.80000","83.50000","9098"
"968","int","","","Piripauan","","","","85.80000","83.50000","18155"
"659","int","","","Late Santonian","","","","85.80000","83.50000","9098"
"660","int","","","Middle Santonian","","","","85.80000","83.50000","9098"
"114","int","1","5","Santonian","","39","#D9EF74","86.30000","83.60000","47900"
"932","int","","","Mata","","","","86.50000","66.00000","18155"
"969","int","","","Teratan","","","","89.30000","85.80000","18155"
"662","int","","","Late Coniacian","","","","89.30000","85.80000","9098"
"663","int","","","Middle Coniacian","","","","89.30000","85.80000","9098"
"93","int","","","Senonian","","","","89.30000","66.00000","5954"
"664","int","","","Early Coniacian","","","","89.30000","85.80000","9098"
"115","int","1","5","Coniacian","","39","#CCE968","89.80000","86.30000","47900"
"970","int","","","Mangaotanean","","","","92.10000","89.30000","18155"
"667","int","","","Early Turonian","","","","93.50000","89.30000","9098"
"665","int","","","Late Turonian","","","","93.50000","89.30000","9098"
"666","int","","","Middle Turonian","","","","93.50000","89.30000","9098"
"116","int","1","5","Turonian","","39","#BFE35D","93.90000","89.80000","47900"
"933","int","","","Raukumara","","","","95.20000","86.50000","18155"
"971","int","","","Arowhanan","","","","95.20000","92.10000","18155"
"670","int","","","Early Cenomanian","","","","99.60000","93.50000","9098"
"668","int","","","Late Cenomanian","","","","99.60000","93.50000","9098"
"669","int","","","Middle Cenomanian","","","","99.60000","93.50000","9098"
"972","int","","","Ngaterian","","","","99.60000","95.20000","18155"
"39","int","1","4","Late Cretaceous","","14","#A6D84A","100.50000","66.00000","47900"
"117","int","1","5","Cenomanian","","39","#B3DE53","100.50000","93.90000","47900"
"973","int","","","Motuan","","","","103.30000","99.60000","18155"
"671","int","","","Late Albian","","","","105.30000","99.60000","9098"
"974","int","","","Urutawan","","","","108.40000","103.30000","18155"
"934","int","","","Clarence","","","","108.40000","95.20000","18155"
"672","int","","","Middle Albian","","","","109.00000","105.30000","9098"
"673","int","","","Early Albian","","","","112.03000","109.00000","9098"
"118","int","1","5","Albian","","40","#CCEA97","113.00000","100.50000","47900"
"674","int","","","Late Aptian","","","","122.46000","112.03000","9098"
"119","int","1","5","Aptian","","40","#BFE48A","125.00000","113.00000","47900"
"975","int","","","Korangan","","","","125.45000","108.40000","18155"
"675","int","","","Early Aptian","","","","125.45000","122.46000","9098"
"120","int","1","5","Barremian","","40","#B3DF7F","129.40000","125.00000","47900"
"676","int","","","Late Barremian","","","","130.00000","125.45000","9098"
"94","int","","","Gallic","","","","130.00000","89.30000","5954"
"677","int","","","Early Barremian","","","","130.00000","125.45000","9098"
"121","int","1","5","Hauterivian","","40","#A6D975","132.90000","129.40000","47900"
"679","int","","","Early Hauterivian","","","","136.40000","130.00000","9098"
"678","int","","","Late Hauterivian","","","","136.40000","130.00000","9098"
"122","int","1","5","Valanginian","","40","#99D36A","139.80000","132.90000","47900"
"681","int","","","Early Valanginian","","","","140.20000","136.40000","9098"
"680","int","","","Late Valanginian","","","","140.20000","136.40000","9098"
"683","int","","","Middle Berriasian","","","","145.00000","140.20000","9098"
"935","int","","","Taitai","","","","145.00000","108.40000","18155"
"684","int","","","Early Berriasian","","","","145.00000","140.20000","9098"
"95","int","","","Neocomian","","","","145.00000","130.00000","5954"
"682","int","","","Late Berriasian","","","","145.00000","140.20000","9098"
"14","int","1","3","Cretaceous","K","2","#7FC64E","145.00000","66.00000","47900"
"40","int","1","4","Early Cretaceous","","14","#8CCD57","145.00000","100.50000","47900"
"123","int","1","5","Berriasian","","40","#8CCD60","145.00000","139.80000","47900"
"976","int","","","Puaroan","","","","148.50000","145.00000","18155"
"936","int","","","Oteke","","","","148.50000","145.00000","18155"
"685","int","","","Late Tithonian","","","","150.80000","145.00000","9098"
"686","int","","","Middle Tithonian","","","","150.80000","145.00000","9098"
"687","int","","","Early Tithonian","","","","150.80000","145.00000","9098"
"124","int","1","5","Tithonian","","41","#D9F1F7","152.10000","145.00000","47900"
"977","int","","","Ohauan","","","","153.50000","148.50000","18155"
"689","int","","","Early Kimmeridgian","","","","155.70000","150.80000","9098"
"688","int","","","Late Kimmeridgian","","","","155.70000","150.80000","9098"
"125","int","1","5","Kimmeridgian","","41","#CCECF4","157.30000","152.10000","47900"
"692","int","","","Early Oxfordian","","","","161.20000","155.70000","9098"
"691","int","","","Middle Oxfordian","","","","161.20000","155.70000","9098"
"690","int","","","Late Oxfordian","","","","161.20000","155.70000","9098"
"978","int","","","Heterian","","","","161.20000","153.50000","18155"
"41","int","1","4","Late Jurassic","","15","#B3E3EE","163.50000","145.00000","47900"
"126","int","1","5","Oxfordian","","41","#BFE7F1","163.50000","157.30000","47900"
"485","int","","","Early Callovian","","","","164.70000","161.20000","8933"
"483","int","","","Late Callovian","","","","164.70000","161.20000","8933"
"484","int","","","Middle Callovian","","","","164.70000","161.20000","8933"
"127","int","1","5","Callovian","","42","#BFE7E5","166.10000","163.50000","47900"
"695","int","","","Early Bathonian","","","","167.70000","164.70000","9098"
"694","int","","","Middle Bathonian","","","","167.70000","164.70000","9098"
"693","int","","","Late Bathonian","","","","167.70000","164.70000","9098"
"128","int","1","5","Bathonian","","42","#B3E2E3","168.30000","166.10000","47900"
"495","int","","","Epizigzagiceras","","","","168.40000","167.70000","8933"
"129","int","1","5","Bajocian","","42","#A6DDE0","170.30000","168.30000","47900"
"496","int","","","Rotundum","","","","171.60000","168.40000","8933"
"528","int","","","Sauzei","","","","171.60000","167.70000","8933"
"524","int","","","Parkinsoni","","","","171.60000","167.70000","8933"
"497","int","","","Oblatum","","","","171.60000","168.40000","8933"
"529","int","","","Laeviuscula","","","","171.60000","167.70000","8933"
"487","int","","","Early Bajocian","","","","171.60000","168.40000","8933"
"525","int","","","Garantiana","","","","171.60000","167.70000","8933"
"498","int","","","Kirschneri","","","","171.60000","168.40000","8933"
"530","int","","","Discites","","","","171.60000","167.70000","8933"
"486","int","","","Late Bajocian","","","","171.60000","167.70000","8933"
"526","int","","","Subfurcatum","","","","171.60000","167.70000","8933"
"499","int","","","Crassicostatus","","","","171.60000","168.40000","8933"
"527","int","","","Humphresianum","","","","171.60000","168.40000","8933"
"500","int","","","Widebayense","","","","171.60000","168.40000","8933"
"42","int","1","4","Middle Jurassic","","15","#80CFD8","174.10000","163.50000","47900"
"130","int","1","5","Aalenian","","42","#9AD9DD","174.10000","170.30000","47900"
"937","int","","","Kawhia","","","","175.60000","148.50000","18155"
"501","int","","","Howelli","","","","175.60000","171.60000","8933"
"533","int","","","Opalinum","","","","175.60000","171.60000","8933"
"979","int","","","Temaikan","","","","175.60000","161.20000","18155"
"502","int","","","Scissum","","","","175.60000","171.60000","8933"
"503","int","","","Westermanni","","","","175.60000","171.60000","8933"
"698","int","","","Early Aalenian","","","","175.60000","171.60000","9098"
"531","int","","","Concavum","","","","175.60000","171.60000","8933"
"697","int","","","Middle Aalenian","","","","175.60000","171.60000","9098"
"532","int","","","Murchisonae","","","","175.60000","171.60000","8933"
"696","int","","","Late Aalenian","","","","175.60000","171.60000","9098"
"505","int","","","Hillebrandti","","","","180.10000","175.60000","8933"
"506","int","","","Crassicosta","","","","180.10000","175.60000","8933"
"535","int","","","Thouarsense","","","","180.10000","175.60000","8933"
"504","int","","","Yakounensis","","","","180.10000","175.60000","8933"
"488","int","","","Late Toarcian","","","","180.10000","175.60000","8933"
"537","int","","","Bifrons","","","","182.00000","175.60000","8933"
"534","int","","","Levesquei","","","","182.00000","175.60000","8933"
"507","int","","","Planulata","","","","182.00000","180.10000","8933"
"489","int","","","Middle Toarcian","","","","182.00000","175.60000","8933"
"536","int","","","Variabilis","","","","182.00000","175.60000","8933"
"131","int","1","5","Toarcian","","43","#99CEE3","182.70000","174.10000","47900"
"538","int","","","Falciferum","","","","183.00000","182.00000","8933"
"539","int","","","Tenuicostatum","","","","183.00000","182.00000","8933"
"490","int","","","Early Toarcian","","","","183.00000","182.00000","8933"
"508","int","","","Kanense","","","","183.00000","182.00000","8933"
