"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
"367","int","","","Red Downtonian","","","","423.00000","419.20000","5954"
"381","int","","","Pridolischichten","","","","423.00000","419.20000","5954"
"839","int","","","Ohesaare","","","","423.00000","419.20000","15443"
"368","int","","","Temeside Shales","","","","423.00000","419.20000","5954"
"784","int","","","unnamed Pridoli stage","","","","423.00000","419.20000","15443"
"840","int","","","Kaugetuma","","","","423.00000","419.20000","15443"
"369","int","","","Downton Castle","","","","423.00000","419.20000","5954"
"384","int","","","Sundre","","","","423.00000","419.20000","5954"
"59","int","1","4","Pridoli","","20","#E6F5E1","423.00000","419.20000","47900"
"3001","int","1","5","Pridoli","","59","#E6F5E1","423.00000","419.20000","47900"
"382","int","","","Kopaninaschichten","","","","425.40000","419.20000","5954"
"374","int","","","Wenlock (England)","","","","425.40000","422.90000","5954"
"186","int","","","Gleedonian","","","","425.40000","422.90000","5954"
"388","int","","","Hemse","","","","425.40000","419.20000","5954"
"375","int","","","Tickwood","","","","425.40000","422.90000","5954"
"184","int","1","5","Ludfordian","","60","#D9F0DF","425.60000","423.00000","47900"
"843","int","","","Rootsikula","","","","426.20000","422.90000","15443"
"187","int","","","Whitwellian","","","","426.20000","425.40000","5954"
"1096","int","","","Chagyrka","","","","426.20000","422.90000","42596"
"60","int","1","4","Ludlow","","20","#BFE6CF","427.40000","423.00000","47900"
"185","int","1","5","Gorstian","","60","#CCECDD","427.40000","425.60000","47900"
"390","int","","","Slite","","","","428.20000","426.20000","5954"
"1092","int","","","Lockport","","","","428.20000","422.90000","42596"
"395","int","","","Lockportian","","","","428.20000","422.90000","5954"
"377","int","","","Buildwas","","","","428.20000","426.20000","5954"
"391","int","","","Hogklint","","","","428.20000","426.20000","5954"
"844","int","","","Jaagarahu","","","","428.20000","422.90000","15443"
"392","int","","","Upper Visby","","","","428.20000","426.20000","5954"
"845","int","","","Jaani","","","","428.20000","426.20000","15443"
"389","int","","","Mulde","","","","428.20000","422.90000","5954"
"376","int","","","Coalbrookdale","","","","428.20000","422.90000","5954"
"785","int","1","5","Homerian","","61","#CCEBD1","430.50000","427.40000","47900"
"61","int","1","4","Wenlock","","20","#B3E1C2","433.40000","427.40000","47900"
"188","int","1","5","Sheinwoodian","","61","#BFE6C3","433.40000","430.50000","47900"
"1097","int","","","Chesnokovka","","","","436.00000","426.20000","42596"
"396","int","","","Tonawandan","","","","436.00000","426.20000","5954"
"1098","int","","","Polaty","","","","436.00000","428.20000","42596"
"378","int","","","Woolhope","","","","436.00000","428.20000","5954"
"393","int","","","Lower Visby","","","","436.00000","428.20000","5954"
"189","int","1","5","Telychian","","62","#BFE6D1","438.50000","433.40000","47900"
"1093","int","","","Clinton","","","","439.00000","426.20000","42596"
"397","int","","","Ontarian","","","","439.00000","428.20000","5954"
"1099","int","","","Syrovaty","","","","439.00000","428.20000","42596"
"379","int","","","Wych","","","","439.00000","428.20000","5954"
"846","int","","","Adavere","","","","439.00000","428.20000","15443"
"190","int","1","5","Aeronian","","62","#B3E1C2","440.80000","438.50000","47900"
"848","int","","","Juuru","","","","443.40000","439.00000","15443"
"383","int","","","Litenschichten","","","","443.40000","422.90000","5954"
"1094","int","","","Medina","","","","443.40000","436.00000","42596"
"1090","int","","","Niagaran","","","","443.40000","422.90000","42596"
"398","int","","","Alexandrian","","","","443.40000","436.00000","5954"
"1100","int","","","Vtorye Utesy","","","","443.40000","436.00000","42596"
"380","int","","","Cowleigh Park","","","","443.40000","439.00000","5954"
"847","int","","","Raikkula","","","","443.40000","436.00000","15443"
"20","int","1","3","Silurian","S","3","#B3E1B6","443.40000","419.20000","47900"
"62","int","1","4","Llandovery","","20","#99D7B3","443.40000","433.40000","47900"
"191","int","1","5","Rhuddanian","","62","#A6DCB5","443.40000","440.80000","47900"
"192","int","1","5","Hirnantian","","29","#A6DBAB","445.20000","443.40000","47900"
"326","int","","","Kosov","","","","445.60000","443.70000","5954"
"336","int","","","Porkuni","","","","445.60000","443.70000","5954"
"1011","int","","","late Late Ordovician","","","","445.60000","443.70000","19119"
"592","int","","","Kosovian","","","","445.60000","443.70000","8960"
"353","int","","","Gamach","","","","445.60000","443.70000","5954"
"354","int","","","Richmond","","","","449.50000","445.60000","5954"
"63","int","","","Ashgill","","","","449.50000","443.70000","5954"
"194","int","","","Cautleyan","","","","449.50000","445.60000","5954"
"327","int","","","Kraluv Dvur","","","","449.50000","445.60000","5954"
"337","int","","","Pirgu","","","","449.50000","445.60000","5954"
"195","int","","","Pusgillian","","","","449.50000","445.60000","5954"
"564","int","","","Gamachian","","","","449.50000","443.70000","8960"
"610","int","","","Wufeng","","","","449.50000","443.70000","8960"
"606","int","","","Qiantianjiang","","","","449.50000","443.70000","8960"
"565","int","","","Richmondian","","","","449.50000","443.70000","8960"
"597","int","","","Bolindian","","","","449.50000","443.70000","8960"
"593","int","","","Kralodvorian","","","","449.50000","445.60000","8960"
"638","int","","","Ashgillian","","","","449.50000","443.70000","8960"
"621","int","","","Chientangkiangian","","","","449.50000","443.70000","8960"
"355","int","","","Maysville","","","","452.00000","445.60000","5954"
"338","int","","","Vormsi","","","","452.00000","445.60000","5954"
"574","int","","","Harju","","","","452.00000","443.70000","8960"
"196","int","","","Onnian","","","","452.00000","449.50000","5954"
"339","int","","","Nabala","","","","452.00000","449.50000","5954"
"566","int","","","Maysvillian","","","","452.00000","449.50000","8960"
"560","int","","","Cincinnatian","","","","452.50000","443.70000","8960"
"1008","int","1","5","Katian","","29","#99D69F","453.00000","445.20000","47900"
"193","int","","","Rawtheyan","","","","455.80000","445.60000","5954"
"340","int","","","Rakvere","","","","455.80000","452.00000","5954"
"198","int","","","Marshbrookian","","","","455.80000","452.00000","5954"
"577","int","","","Streffordian","","","","455.80000","449.50000","8960"
"578","int","","","Cheneyan","","","","455.80000","452.00000","8960"
"786","int","","","middle Late Ordovician","","","","455.80000","445.60000","15443"
"588","int","","","Woolstonian","","","","455.80000","452.00000","8960"
"197","int","","","Actonian","","","","455.80000","452.00000","5954"
"598","int","","","Eastonian","","","","456.10000","449.50000","8960"
"358","int","","","Kirkfield","","","","457.50000","455.80000","5954"
"359","int","","","Rockland","","","","457.50000","455.80000","5954"
"341","int","","","Oandu","","","","457.50000","452.00000","5954"
"199","int","","","Longvillian","","","","457.50000","455.80000","5954"
"328","int","","","Bohdalec","","","","457.50000","445.60000","5954"
"200","int","","","Soudleyan","","","","457.50000","455.80000","5954"
"329","int","","","Zahorany","","","","457.50000","455.80000","5954"
"343","int","","","Johvi","","","","457.50000","449.50000","5954"
"579","int","","","Burrellian","","","","457.50000","455.80000","8960"
"201","int","","","Harnagian","","","","457.50000","455.80000","5954"
"561","int","","","Mohawkian","","","","457.50000","452.50000","8960"
"357","int","","","Sherman","","","","457.50000","454.00000","5954"
"330","int","","","Vinice","","","","457.50000","455.80000","5954"
"29","int","1","4","Late Ordovician","","21","#7FCA93","458.40000","443.40000","47900"
"1009","int","1","5","Sandbian","","29","#8CD094","458.40000","453.00000","47900"
"594","int","","","Berounian","","","","460.90000","449.50000","8960"
"617","int","","","Hanjiang","","","","460.90000","449.50000","8960"
"639","int","","","Caradocian","","","","460.90000","449.50000","8960"
"331","int","","","Letna","","","","460.90000","455.80000","5954"
"567","int","","","Chatfieldian","","","","460.90000","449.50000","8960"
"599","int","","","Gisbornian","","","","460.90000","456.10000","8960"
"557","int","","","Wildernessian","","","","460.90000","449.50000","8960"
"590","int","","","Dobrotivian","","","","460.90000","457.50000","8960"
"622","int","","","Neichiashanian","","","","460.90000","449.50000","8960"
"345","int","","","Kukruse","","","","460.90000","449.50000","5954"
"204","int","","","Middle Llandeilo","","","","460.90000","449.50000","5954"
"627","int","","","Haljala","","","","460.90000","449.50000","8960"
"332","int","","","Liben","","","","460.90000","457.50000","5954"
"568","int","","","Turinian","","","","460.90000","449.50000","8960"
"558","int","","","Ashbyan","","","","460.90000","449.50000","8960"
"64","int","","","Caradoc","","","","460.90000","449.50000","5954"
"646","int","","","Shermanian","","","","460.90000","449.50000","9006"
"360","int","","","Black River","","","","460.90000","457.50000","5954"
"342","int","","","Keila","","","","460.90000","455.80000","5954"
"356","int","","","Edenian","","","","460.90000","449.50000","5954"
"647","int","","","Blackriveran","","","","460.90000","449.50000","9006"
"642","int","","","Franklinian","","","","460.90000","449.50000","9006"
"554","int","","","Trentonian","","","","460.90000","449.50000","8960"
"611","int","","","Xiaoxita","","","","460.90000","443.70000","8960"
"643","int","","","Kirkfieldian","","","","460.90000","449.50000","9006"
"203","int","","","Late Llandeilo","","","","460.90000","449.50000","5954"
"616","int","","","Shikou","","","","460.90000","443.70000","8960"
"787","int","","","early Late Ordovician","","","","460.90000","455.80000","15443"
"607","int","","","Aijiashan","","","","460.90000","443.70000","8960"
"589","int","","","Volfreyan","","","","460.90000","457.50000","8960"
"344","int","","","Idavere","","","","460.90000","455.80000","5954"
"580","int","","","Aurelucian","","","","460.90000","457.50000","8960"
"644","int","","","Rocklandian","","","","460.90000","449.50000","9006"
"202","int","","","Costonian","","","","460.90000","457.50000","5954"
"206","int","","","Late Llanvirn","","","","463.50000","460.90000","5954"
"347","int","","","Lasnamagi","","","","463.50000","460.90000","5954"
"348","int","","","Aseri","","","","463.50000","460.90000","5954"
"575","int","","","Viru","","","","463.50000","452.00000","8960"
"581","int","","","Llandeilian","","","","466.00000","460.90000","8960"
"591","int","","","Oretanian","","","","466.00000","460.90000","8960"
"346","int","","","Uhaku","","","","466.00000","460.90000","5954"
"582","int","","","Abereiddian","","","","466.00000","460.90000","8960"
"205","int","","","Early Llandeilo","","","","466.00000","460.90000","5954"
"333","int","","","Dobrotiva","","","","466.00000","460.90000","5954"
"65","int","","","Llandeilo","","","","466.00000","449.50000","5954"
"361","int","","","Chazy","","","","466.00000","457.50000","5954"
"207","int","","","Early Llanvirn","","","","466.00000","463.50000","5954"
"334","int","","","Sarka","","","","466.00000","466.00000","5954"
"66","int","","","Llanvirn","","","","466.00000","460.90000","5954"
"630","int","","","Aluoja","","","","466.00000","460.90000","8960"
"556","int","1","5","Darriwilian","","30","#74C69C","467.30000","458.40000","47900"
"349","int","","","Kunda","","","","468.10000","463.50000","5954"
"649","int","","","Marmor","","","","468.10000","460.90000","9006"
"595","int","","","Llanvirnian","","","","468.10000","460.90000","8960"
"618","int","","","Hulo","","","","468.10000","460.90000","8960"
"623","int","","","Zhejiangian","","","","468.10000","460.90000","8960"
"648","int","","","Chazyan","","","","468.10000","460.90000","9006"
"362","int","","","Whiterock","","","","468.10000","460.90000","5954"
"612","int","","","Guniu","","","","468.10000","460.90000","8960"
"600","int","","","Yapeenian","","","","468.90000","466.00000","8960"
"30","int","1","4","Middle Ordovician","","21","#4DB47E","470.00000","458.40000","47900"
"1079","int","1","5","Dapingian","","30","#66C092","470.00000","467.30000","47900"
"635","int","","","Saka","","","","471.80000","468.10000","8960"
"562","int","","","Whiterockian","","","","471.80000","457.50000","8960"
"788","int","","","early Middle Ordovician","","","","471.80000","468.10000","15443"
"631","int","","","Valaste","","","","471.80000","466.00000","8960"
"350","int","","","Volkhov","","","","471.80000","468.10000","5954"
"640","int","","","Volkhovian","","","","471.80000","468.10000","8960"
"632","int","","","Hunderum","","","","471.80000","466.00000","8960"
"569","int","","","Rangerian","","","","471.80000","468.10000","8960"
"633","int","","","Langevoja","","","","471.80000","468.10000","8960"
"583","int","","","Fennian","","","","471.80000","466.00000","8960"
"634","int","","","Vaana","","","","471.80000","468.10000","8960"
"601","int","","","Castlemainian","","","","472.00000","468.90000","8960"
"602","int","","","Chewtonian","","","","473.90000","472.00000","8960"
"603","int","","","Bendigonian","","","","476.80000","473.90000","8960"
"1010","int","1","5","Floian","","31","#41B087","477.70000","470.00000","47900"
"335","int","","","Klabava","","","","478.60000","466.00000","5954"
"626","int","","","Valhallan","","","","478.60000","468.10000","8960"
"585","int","","","Moridunian","","","","478.60000","471.80000","8960"
"67","int","","","Arenig","","","","478.60000","466.00000","5954"
"608","int","","","Yangtzi","","","","478.60000","460.90000","8960"
"363","int","","","Cassinian","","","","478.60000","468.10000","5954"
"613","int","","","Dawan","","","","478.60000","468.10000","8960"
"636","int","","","Billingen","","","","478.60000","471.80000","8960"
"789","int","","","late Early Ordovician","","","","478.60000","471.80000","15443"
"614","int","","","Daobaowan","","","","478.60000","468.10000","8960"
"596","int","","","Arenigian","","","","478.60000","468.10000","8960"
"619","int","","","Ningkuo","","","","478.60000","468.10000","8960"
"641","int","","","Latorpian","","","","478.60000","471.80000","8960"
"624","int","","","Yushanian","","","","478.60000","468.10000","8960"
"570","int","","","Blackhillsian","","","","478.60000","471.80000","8960"
"584","int","","","Whitlandian","","","","478.60000","471.80000","8960"
"637","int","","","Hunneberg","","","","484.50000","471.80000","8960"
"351","int","","","Latorp","","","","484.50000","471.80000","5954"
"571","int","","","Tulean","","","","485.40000","471.80000","8960"
"576","int","","","Oeland","","","","485.40000","463.50000","8960"
"645","int","","","Canadian","","","","485.40000","468.10000","9006"
"572","int","","","Stairsian","","","","485.40000","478.60000","8960"
"604","int","","","Lancefieldian","","","","485.40000","476.80000","8960"
"586","int","","","Migneintian","","","","485.40000","478.60000","8960"
"68","int","","","Tremadoc","","","","485.40000","477.70000","5954"
"650","int","","","Jeffersonian","","","","485.40000","468.10000","9006"
"609","int","","","Yichang","","","","485.40000","478.60000","8960"
"364","int","","","Jefferson","","","","485.40000","468.10000","5954"
"573","int","","","Skullrockian","","","","485.40000","478.60000","8960"
"605","int","","","Warendian","","","","485.40000","478.60000","8960"
"628","int","","","Varangu","","","","485.40000","484.50000","8960"
"587","int","","","Cressagian","","","","485.40000","478.60000","8960"
"651","int","","","Demingian","","","","485.40000","478.60000","9006"
"790","int","","","Mansian","","","","485.40000","485.00000","15443"
"365","int","","","Deming","","","","485.40000","478.60000","5954"
"615","int","","","Lianghekou","","","","485.40000","478.60000","8960"
"629","int","","","Pakerort","","","","485.40000","484.50000","8960"
"800","int","","","Datsonian","","","","485.40000","485.00000","15443"
"620","int","","","Hunjiang","","","","485.40000","468.10000","8960"
"366","int","","","Gasconadian","","","","485.40000","477.70000","5954"
"625","int","","","Ichangian","","","","485.40000","478.60000","8960"
"828","int","","","Ungurian","","","","485.40000","478.60000","15443"
"21","int","1","3","Ordovician","O","3","#009270","485.40000","443.40000","47900"
"31","int","1","4","Early Ordovician","","21","#1A9D6F","485.40000","470.00000","47900"
"559","int","1","5","Tremadocian","","31","#33A97E","485.40000","477.70000","47900"
"563","int","","","Ibexian","","","","488.30000","471.80000","8960"
"1112","int","1","5","Stage 10","","780","#E6F5C9","489.50000","485.40000","47900"
"801","int","","","Payntonian","","","","494.00000","485.40000","15443"
"1113","int","1","5","Jiangshanian","","780","#D9F0BB","494.00000","489.50000","47900"
"780","int","1","4","Furongian","","22","#B3E095","497.00000","485.40000","47900"
"1114","int","1","5","Paibian","","780","#CCEBAE","497.00000","494.00000","47900"
"829","int","","","Batyrbaian","","","","498.50000","485.40000","15443"
"802","int","","","Iverian","","","","498.50000","494.00000","15443"
"830","int","","","Aksayan","","","","498.50000","485.40000","15443"
"822","int","","","Sunwaptan","","","","498.50000","485.40000","15443"
"791","int","","","Ketyan","","","","498.50000","485.40000","15443"
"1085","int","","","Niuchehean","","","","498.50000","485.40000","40570"
"810","int","","","Taoyuanian","","","","498.50000","485.40000","15443"
"792","int","","","Yurakian","","","","498.50000","485.40000","15443"
"1087","int","1","5","Guzhangian","","1109","#CCDFAA","500.50000","497.00000","47900"
"1086","int","","","Paibian","","","","501.00000","498.50000","40570"
"811","int","","","Waergangian","","","","501.00000","498.50000","15443"
"793","int","","","Ensyan","","","","501.00000","498.50000","15443"
"322","int","","","Franconian","","","","501.00000","485.40000","5954"
"313","int","","","Maentwrog","","","","501.00000","485.40000","5954"
"812","int","","","Youshuanian","","","","501.00000","498.50000","15443"
"835","int","","","Merionethian","","","","501.00000","485.40000","15443"
"803","int","","","Idamean","","","","501.00000","498.50000","15443"
"794","int","","","Maduan","","","","501.00000","498.50000","15443"
"323","int","","","Dresbachian","","","","501.00000","485.40000","5954"
"208","int","","","Dolgellian","","","","501.00000","485.40000","5954"
"831","int","","","Sakian","","","","501.00000","485.40000","15443"
"69","int","","","Merioneth","","","","501.00000","485.40000","5954"
"804","int","","","Mindyallan","","","","501.00000","498.50000","15443"
"795","int","","","Tavgian","","","","501.00000","485.40000","15443"
"209","int","","","Maentwrogian","","","","501.00000","485.40000","5954"
"352","int","","","Olentian","","","","501.00000","484.50000","5954"
"823","int","","","Steptoean","","","","501.00000","485.40000","15443"
"311","int","","","Dolgelly","","","","501.00000","485.40000","5954"
"796","int","","","Nganasanian","","","","501.00000","498.50000","15443"
"819","int","","","Millardan","","","","501.00000","485.40000","15443"
"321","int","","","Trempealeauan","","","","501.00000","485.40000","5954"
"312","int","","","Festiniogian","","","","501.00000","485.40000","5954"
"805","int","","","Boomerangian","","","","504.00000","501.00000","15443"
"1116","int","1","5","Drumian","","1109","#BFD99D","504.50000","500.50000","47900"
"806","int","","","Undillan","","","","505.00000","504.00000","15443"
"797","int","","","Mayan","","","","505.00000","501.00000","15443"
"813","int","","","Wangcunian","","","","505.00000","501.00000","15443"
"832","int","","","Ayusokkanian","","","","505.00000","498.50000","15443"
"833","int","","","Zhanarykian","","","","505.00000","501.00000","15443"
"807","int","","","Floran","","","","507.00000","505.00000","15443"
"1109","int","1","4","Series 3","","22","#A6CF86","509.00000","497.00000","47900"
"1117","int","1","5","Stage 5","","1109","#B3D492","509.00000","504.50000","47900"
"211","int","","","Solvan","","","","513.00000","501.00000","5954"
"820","int","","","Lincolnian","","","","513.00000","498.50000","15443"
"317","int","","","Hafotty","","","","513.00000","501.00000","5954"
"834","int","","","Tyesaian","","","","513.00000","505.00000","15443"
"1082","int","","","Wulingian","","","","513.00000","501.00000","40570"
"825","int","","","Delamaran","","","","513.00000","505.00000","15443"
"798","int","","","Amgan","","","","513.00000","505.00000","15443"
"314","int","","","Clogau","","","","513.00000","501.00000","5954"
"808","int","","","Templetonian","","","","513.00000","507.00000","15443"
"836","int","","","Arcadian","","","","513.00000","501.00000","15443"
"324","int","","","Albertian","","","","513.00000","501.00000","5954"
"315","int","","","Gamlan","","","","513.00000","501.00000","5954"
"70","int","","","St Davids","","","","513.00000","501.00000","5954"
"814","int","","","Taijangian","","","","513.00000","505.00000","15443"
"210","int","","","Menevian","","","","513.00000","501.00000","5954"
"316","int","","","Barmouth","","","","513.00000","501.00000","5954"
"824","int","","","Marjumian","","","","513.00000","498.50000","15443"
"781","int","","","Middle Cambrian","","","","513.00000","501.00000","15443"
"1118","int","1","5","Stage 4","","1110","#B3CA8E","514.00000","509.00000","47900"
"749","int","","","Toyonian","","","","516.00000","513.00000","5954"
"816","int","","","Nangaoian","","","","516.00000","513.00000","15443"
"212","int","","","Lenian","","","","516.00000","513.00000","5954"
"318","int","","","Rhinog","","","","516.00000","513.00000","5954"
"750","int","","","Botomian","","","","516.00000","513.00000","5954"
"1083","int","","","Qiandongian","","","","516.00000","513.00000","40570"
"826","int","","","Dyeran","","","","516.00000","513.00000","15443"
"809","int","","","Ordian","","","","516.00000","513.00000","15443"
"815","int","","","Duyunian","","","","516.00000","513.00000","15443"
"213","int","","","Atdabanian","","","","520.00000","516.00000","5954"
"319","int","","","Llanbedr","","","","520.00000","516.00000","5954"
"837","int","","","Branchian","","","","520.00000","513.00000","15443"
"1110","int","1","4","Series 2","","22","#99C078","521.00000","509.00000","47900"
"1119","int","1","5","Stage 3","","1110","#A6C583","521.00000","514.00000","47900"
"1120","int","1","5","Stage 2","","1111","#A6BA80","529.00000","521.00000","47900"
"827","int","","","Montezuman","","","","530.00000","516.00000","15443"
"214","int","","","Tommotian","","","","530.00000","520.00000","5954"
"320","int","","","Dolwen","","","","530.00000","516.00000","5954"
"325","int","","","Waucoban","","","","530.00000","513.00000","5954"
"71","int","","","Caerfai","","","","530.00000","513.00000","5954"
"838","int","","","Placentian","","","","541.00000","516.00000","15443"
"821","int","","","Begadean","","","","541.00000","520.00000","15443"
"817","int","","","Meishucunian","","","","541.00000","516.00000","15443"
"799","int","","","Nemakit-Daldynian","","","","541.00000","530.00000","15443"
"782","int","","","Early Cambrian","","","","541.00000","513.00000","15443"
"1084","int","","","Diandongian","","","","541.00000","516.00000","40570"
"818","int","","","Jinnigian","","","","541.00000","516.00000","15443"
"748","int","","","Manykaian","","","","541.00000","530.00000","10010"
"751","int","1","1","Phanerozoic","","0","#9AD9DD","541.00000","0.00000","47900"
"3","int","1","2","Paleozoic","Pz","751","#99C08D","541.00000","252.17000","47900"
"22","int","1","3","Cambrian","Cm","3","#7FA056","541.00000","485.40000","47900"
"1111","int","1","4","Terreneuvian","","22","#8CB06C","541.00000","521.00000","47900"
"1121","int","1","5","Fortunian","","1111","#99B575","541.00000","529.00000","47900"
"72","int","","","Ediacara","","","","580.00000","541.00000","5954"
"216","int","","","Wonokan","","","","580.00000","580.00000","5954"
"217","int","","","Mortensnes","","","","580.00000","580.00000","5954"
"215","int","","","Poundian","","","","580.00000","541.00000","5954"
"23","int","","","Vendian","","","","635.00000","541.00000","5954"
"73","int","","","Varanger","","","","635.00000","580.00000","5954"
"4","int","","","Sinian","","","","635.00000","541.00000","5954"
"1081","int","","","Nyborg","","","","635.00000","580.00000","30675"
"761","int","1","3","Ediacaran","","754","#FED96A","635.00000","541.00000","47900"
"24","int","","","Sturtian","","","","723.00000","663.00000","5954"
"218","int","","","Smalfjord","","","","723.00000","635.00000","5954"
"762","int","1","3","Cryogenian","","754","#FECC5C","850.00000","635.00000","47900"
"754","int","1","2","Neoproterozoic","","752","#FEB342","1000.00000","541.00000","47900"
"763","int","1","3","Tonian","","754","#FEBF4E","1000.00000","850.00000","47900"
"74","int","","","Karatau","","","","1050.00000","635.00000","5954"
"764","int","1","3","Stenian","","755","#FED99A","1200.00000","1000.00000","47900"
"75","int","","","Yurmatin","","","","1350.00000","1050.00000","5954"
"765","int","1","3","Ectasian","","755","#F3CC8A","1400.00000","1200.00000","47900"
"755","int","1","2","Mesoproterozoic","","752","#FDB462","1600.00000","1000.00000","47900"
"766","int","1","3","Calymmian","","755","#FDC07A","1600.00000","1400.00000","47900"
"6","int","","","Animikean","","","","1650.00000","1650.00000","5954"
"76","int","","","Burzyan","","","","1650.00000","1350.00000","5954"
"7","int","","","Huronian","","","","1650.00000","1650.00000","5954"
"8","int","","","Randian","","","","1650.00000","1650.00000","5954"
"9","int","","","Swazian","","","","1650.00000","1650.00000","5954"
"5","int","","","Riphean","","","","1650.00000","635.00000","5954"
"10","int","","","Isuan","","","","1650.00000","1650.00000","5954"
"767","int","1","3","Statherian","","756","#F875A7","1800.00000","1600.00000","47900"
"768","int","1","3","Orosirian","","756","#F76898","2050.00000","1800.00000","47900"
"769","int","1","3","Rhyacian","","756","#F75B89","2300.00000","2050.00000","47900"
"752","int","1","1","Proterozoic","","0","#F73563","2500.00000","541.00000","47900"
"756","int","1","2","Paleoproterozoic","","752","#F74370","2500.00000","1600.00000","47900"
"770","int","1","3","Siderian","","756","#F74F7C","2500.00000","2300.00000","47900"
"757","int","1","2","Neoarchean","","753","#F99BC1","2800.00000","2500.00000","15443"
"758","int","1","2","Mesoarchean","","753","#F768A9","3200.00000","2800.00000","15443"
"759","int","1","2","Paleoarchean","","753","#F444A9","3600.00000","3200.00000","15443"
"77","int","","","Early Imbrian","","","","3850.00000","1650.00000","5954"
"78","int","","","Nectarian","","","","3950.00000","3850.00000","5954"
"753","int","1","1","Archean","","0","#F0047F","4000.00000","2500.00000","15443"
"760","int","1","2","Eoarchean","","753","#DA037F","4000.00000","3600.00000","15443"
"79","int","","","Basin Groups 1-9","","","","4150.00000","3950.00000","5954"
"80","int","","","Cryptic","","","","4560.00000","4150.00000","5954"
"11","int","1","1","Hadean","","0","#AE027E","4600.00000","4000.00000","5954"
