animal,ZOOLOGICAL
animals,ZOOLOGICAL
bact,BACTERIAL
bacteria,BACTERIAL
bacteriological,BACTERIAL
bacteriological code,BACTERIAL
bc,BACTERIAL
berlin code,BOTANICAL
bot,BOTANICAL
botanical code,BOTANICAL
botany,BOTANICAL
cpc,CULTIVARS
cultivated plants,CULTIVARS
icbn,BOTANICAL
icn,BOTANICAL
icnafp,BOTANICAL
icnb,BACTERIAL
icncp,CULTIVARS
ictv,VIRUS
icvcn,VIRUS
iczn,ZOOLOGICAL
international code of botanical nomenclature,BOTANICAL
international code of nomenclature for algae fungi and plants,BOTANICAL
international code of nomenclature of bacteria,BACTERIAL
leningrad code,BOTANICAL
melbourne code,BOTANICAL
phylo code,PHYLO
phylocode,PHYLO
phylogenetic,PHYLO
phylogeny,PHYLO
phyto,PHYTO
vegetation,PHYTO
phytosociology,PHYTO
phytosociological,PHYTO
plant,BOTANICAL
plants,BOTANICAL
shenzhen code,BOTANICAL
st louis code,BOTANICAL
sydney code,BOTANICAL
tokyo code,BOTANICAL
vc,VIRUS
vienna code,BOTANICAL
vir,VIRUS
zc,ZOOLOGICAL
zoo,ZOOLOGICAL
zoocode,ZOOLOGICAL
zoological code,ZOOLOGICAL
zoology,ZOOLOGICAL